StakeholderID,Name,Organisation,Role,Category(Internal/External),Email,Phone,Influence(H/M/L),Interest(H/M/L),CurrentEngagement,TargetEngagement,CommunicationFrequency,CommunicationMethod,KeyConcerns,EngagementStrategy,Owner,LastContact,NextContact
S-001,,[Client Name],Client Sponsor,External,,,H,H,Leading,Leading,Weekly,Meeting + Report,Schedule/Cost/Quality,Manage closely,PM,,
S-002,,[PM Company],Project Manager,Internal,,,H,H,Leading,Leading,Daily,Multiple,All,Daily contact,Sponsor,,
S-003,,[Designer],Principal Designer,External,,,H,H,Supportive,Supportive,Weekly,Design meetings,Design coord,Manage closely,PM,,
S-004,,[Contractor],Principal Contractor,External,,,H,H,Supportive,Supportive,Weekly,Site meetings,Programme/Cost,Manage closely,PM,,
S-005,,[Local Authority],Planning Officer,External,,,H,M,Neutral,Supportive,Monthly,Formal correspondence,Compliance,Keep satisfied,Design Mgr,,
S-006,,[Building Control],Building Inspector,External,,,H,M,Neutral,Supportive,As required,Site inspection,Regulatory,Keep satisfied,Site Mgr,,
S-007,,[HSE],HSE Inspector,External,,,H,L,Unaware,Neutral,As required,Inspection,Safety,Keep satisfied,HSE Mgr,,
S-008,,[Fire Service],Fire Safety Officer,External,,,M,M,Neutral,Supportive,At key stages,Formal consultation,Fire strategy,Keep informed,Design Mgr,,
S-009,,[Utility — Gas],Gas Utility,External,,,M,L,Unaware,Neutral,At key stages,Formal,Diversions/connections,Keep informed,Site Mgr,,
S-010,,[Utility — Electricity],DNO,External,,,M,L,Unaware,Neutral,At key stages,Formal,Diversions/connections,Keep informed,Site Mgr,,
S-011,,[Neighbours],Local Residents,External,,,L,H,Neutral,Supportive,Monthly,Newsletter/drop-in,Noise/disruption,Keep informed,PR,,
S-012,,[End Users],Building Occupants,External,,,L,H,Unaware,Supportive,Quarterly,Briefings,Functionality,Keep informed,Client,,
S-013,,[MEP Subcontractor],MEP Specialist,External,,,M,H,Supportive,Supportive,Weekly,Site meetings,Coordination,Manage closely,Contractor,,
S-014,,[Insurer],Insurance Broker,External,,,M,M,Neutral,Neutral,Monthly,Formal,Risk profile,Keep satisfied,Comm Mgr,,
S-015,,[Auditor],Internal Audit,Internal,,,L,M,Neutral,Supportive,Quarterly,Formal,Governance,Keep informed,PM,,
